sid	pid	sid_info	date	class	time
1	1 0h 17.12.09	1 0h	17/12/09	control	0
2	2 0h 17.12.09	2 0h	17/12/09	control	0
3	3 0h 06.01.10	3 0h	6/1/10	control	0
4	4 0h 06.01.10	4 0h	6/1/10	control	0
5	5 0h 06.01.10	5 0h	6/1/10	control	0
6	2 6h 11.12.09	2 6h	11/12/09	BDL	6
7	3 6h 11.12.09	3 6h	11/12/09	BDL	6
8	4 6h 11.12.09	4 6h	11/12/09	BDL	6
9	3 6h 01.12.09	3 6h	1/12/09	BDL	6
10	4 6h 01.12.09	4 6h	1/12/09	BDL	6
11	1 12h 08.12.09	1 12h	8/12/09	BDL	12
12	2 12h 08.12.09	2 12h	8/12/09	BDL	12
13	1 12h 11.12.09	1 12h	11/12/09	BDL	12
14	1 12h 14.12.09	1 12h	14/12/09	BDL	12
15	2 12h 14.12.09	2 12h	14/12/09	BDL	12
16	1 18h 17.12.09	1 18h	17/12/09	BDL	18
17	2 18h 17.12.09	2 18h	17/12/09	BDL	18
18	3 18h 17.12.09	3 18h	17/12/09	BDL	18
19	4 18h 26.11.09	4 18h	26/11/09	BDL	18
20	5 18h 26.11.09	5 18h	26/11/09	BDL	18
21	1 30h 08.01.10	1 30h	8/1/10	BDL	30
22	2 30h 08.01.10	2 30h	8/1/10	BDL	30
23	3 30h 08.01.10	3 30h	8/1/10	BDL	30
24	3 30h 15.12.09	3 30h	15/12/09	BDL	30
25	4 30h 15.12.09	4 30h	15/12/09	BDL	30
26	1 2d 03.12.09	1 2d	3/12/09	BDL	48
27	2 2d 03.12.09	2 2d	3/12/09	BDL	48
28	3 2d 10.12.09	3 2d	10/12/09	BDL	48
29	4 2d 10.12.09	4 2d	10/12/09	BDL	48
30	5 2d 10.12.09	5 2d	10/12/09	BDL	48
31	1 5d 21.04.10	1 5d	21/4/10	BDL	120
32	2 5d 21.04.10	2 5d	21/4/10	BDL	120
33	3 5d 21.04.10	3 5d	21/4/10	BDL	120
34	4 5d 21.04.10	4 5d	21/4/10	BDL	120
35	5 5d 21.04.10	5 5d	21/4/10	BDL	120
36	1 14d 09.12.09	1 14d	9/12/09	BDL	336
37	2 14d 09.12.09	2 14d	9/12/09	BDL	336
38	3 14d 09.12.09	3 14d	9/12/09	BDL	336
39	1 14d 16.12.09	1 14d	16/12/09	BDL	336
40	2 14d 16.12.09	2 14d	16/12/09	BDL	336

