sid	pid	alpha-SMA	CTGF	S100A4
1	1 0h 17.12.09	NA	NA	NA
2	2 0h 17.12.09	NA	NA	NA
3	3 0h 06.01.10	2	1	12
4	4 0h 06.01.10	1	2	16
5	5 0h 06.01.10	2	1	13
6	2 6h 11.12.09	3	2	13
7	3 6h 11.12.09	5	3	13
8	4 6h 11.12.09	6	1	17
9	3 6h 01.12.09	NA	NA	NA
10	4 6h 01.12.09	NA	NA	NA
11	1 12h 08.12.09	15	9	15
12	2 12h 08.12.09	14	10	19
13	1 12h 11.12.09	12	6	18
14	1 12h 14.12.09	NA	NA	NA
15	2 12h 14.12.09	NA	NA	NA
16	1 18h 17.12.09	23	17	23
17	2 18h 17.12.09	34	16	25
18	3 18h 17.12.09	NA	NA	NA
19	4 18h 26.11.09	17	19	20
20	5 18h 26.11.09	NA	NA	NA
21	1 30h 08.01.10	45	19	25
22	2 30h 08.01.10	69	20	29
23	3 30h 08.01.10	NA	NA	NA
24	3 30h 15.12.09	18	14	32
25	4 30h 15.12.09	NA	NA	NA
26	1 2d 03.12.09	51	36	54
27	2 2d 03.12.09	76	41	61
28	3 2d 10.12.09	32	42	40
29	4 2d 10.12.09	NA	NA	NA
30	5 2d 10.12.09	NA	NA	NA
31	1 5d 21.04.10	NA	NA	NA
32	2 5d 21.04.10	89	66	44
33	3 5d 21.04.10	83	53	47
34	4 5d 21.04.10	NA	NA	NA
35	5 5d 21.04.10	45	41	55
36	1 14d 09.12.09	112	79	51
37	2 14d 09.12.09	NA	NA	NA
38	3 14d 09.12.09	123	85	55
39	1 14d 16.12.09	NA	NA	NA
40	2 14d 16.12.09	87	87	55

